 Best 1,사랑은 그렇게 하는 것이 아니다,김달,14，850
 2,트렌드 코리아 2023,김난도 외,17，100
 3,반짝이는 하루， 그게 오늘이야,레슬리 마샹 외,15，120
 4,하얼빈,김훈,14，400
 5,세상에서 가장 쉬운 본질육아,지나영,16，920
 6,아버지의 해방일지,정지아,13，500
 7,불편한 편의점 2,김호연,12，600
 8,심리학이 조조에게 말하다 1,천위안 외,16，020
 9,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,12，600
 10,나는 나를 바꾸기로 했다,우즈훙 외,14，220
 11,역행자,자청,15，750
 12,부의 치트키,김성공,15，300
 13,잘될 수밖에 없는 너에게,최서영,14，400
 14,마흔에 읽는 니체,장재형,14，400
 15,심리학이 분노에 답하다,충페이충 외,16，020
 16,단순한 열정,아니 에르노 외,9，000
 17,작은 땅의 야수들,김주혜 외,16，200
 18,혼자서 종이우산을 쓰고 가다,에쿠니 가오리 외,13，320
 19,올리버쌤의 미국식 아이 영어 습관 365,올리버 그랜트 외,20，700
 20,파친코 2,이민진 외,14，220
 22,식사만 바꿔도 젊어집니다,마키타 젠지 외,14，850
 23,파친코 1,이민진 외,14，220
 24,SQL 자격검정 실전문제,한국데이터진흥원,17，820
 25,원씽(The One Thing)(리커버 특별판),게리 켈러 외,12，600
 27,가녀장의 시대,이슬아,13，500
 28,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키 외,14，220
 29,데일 카네기 인간관계론,데일 카네기 외,10，350
 31,사람을 얻는 지혜,발타자르 그라시안 외,12，420
 32,이 책은 돈 버는 법에 관한 이야기,고명환,15，120
 33,2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리),해커스 취업교육연구소,16，110
 34,어서 오세요， 휴남동 서점입니다 (여름 숲 에디션),황보름,13，500
 35,해커스 GSAT 삼성직무적성검사 Final 봉투모의고사 4회분,해커스 취업교육연구소,13，410
 36,바자(BAZAAR)(2022년 11월호),허스트중앙 편집부,12，260
 37,헤어질 결심 스토리보드북,박찬욱 (감독) 외,29，700
 38,퀀트 투자 무작정 따라하기,강환국,22，500
 39,세상의 마지막 기차역,무라세 다케시 외,12，600
 40,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코 외,15，750
